Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2022;Nombre de naissances domiciliées 2023;Part des emplois sal. dans le nb d’emplois au LT 2021;Nb d'hôtels 2024;Nb de chambres dans les hôtels 2024;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021;Part des ménages ayant au moins 1 voiture 2021
01241;Meillonnas;1383;12;75.7;0;0;91.8;0.3;95.7
01242;Mérignat;133;0;70.9;0;0;80.4;0;95.1
01243;Messimy-sur-Saône;1312;10;58.9;0;0;86.5;0.5;97.2
01244;Meximieux;8198;102;82.9;1;10;75.6;0.7;89.1
01245;Bohas-Meyriat-Rignat;951;9;66.7;0;0;91.3;0;97
01246;Mézériat;2179;20;69.8;0;0;89.6;0.4;93.7
01247;Mijoux;297;4;66.5;2;55;73.9;1.8;98.6
01248;Mionnay;2309;16;69.5;0;0;81;0.2;97.5
01249;Miribel;10450;116;88.5;0;0;74;2.8;88.8
01250;Misérieux;2010;11;81.3;0;0;88.7;0.4;97.3
01252;Mogneneins;824;15;59.6;0;0;90.4;0;95.2
01254;Montagnat;2164;17;84.6;2;122;92.2;0.5;98.5
01255;Montagnieu;684;5;50.2;1;20;91;0.7;94.5
01257;Montanges;348;6;74.8;0;0;85.4;0;98
01258;Montceaux;1202;7;80.7;0;0;86.8;0.5;97.3
01259;Montcet;715;7;61.7;0;0;92.5;1.1;97.3
01260;Le Montellier;329;8;59.4;0;0;87.1;0;100
01261;Monthieux;673;6;77.6;1;53;86.3;0;94.2
01262;Montluel;6879;64;89.2;1;8;74.5;1.6;86.7
01263;Montmerle-sur-Saône;3798;36;84.7;0;0;86;0.7;92
01264;Montracol;1008;11;62.4;0;0;90.8;0.6;93.9
01265;Montréal-la-Cluse;3584;37;89.8;1;28;88.8;2;88.5
01266;Montrevel-en-Bresse;2661;25;86.6;1;6;85.1;1.4;88.9
01267;Nurieux-Volognat;973;4;90;0;0;90.2;1.2;94.5
01268;Murs-et-Gélignieux;239;0;54.7;0;0;95.9;0;94.3
01269;Nantua;3431;48;88.6;1;47;78.5;1.3;83.5
01272;Neuville-les-Dames;1540;11;67.4;0;0;88.7;0.3;92.4
01273;Neuville-sur-Ain;1798;16;76;1;14;89.5;0.5;97
01274;Les Neyrolles;623;4;86.5;0;0;91.3;1.6;92.3
01275;Neyron;2479;18;89.2;0;0;79.5;4;96.2
01276;Niévroz;1648;18;74.1;0;0;89.1;1.1;97.7
01277;Nivollet-Montgriffon;119;1;46.6;0;0;82.4;2;94.9
01279;Oncieu;72;0;23.4;0;0;87.8;0;88.9
01280;Ordonnaz;146;0;30;0;0;89.6;0;98.7
01281;Ornex;4903;43;79.7;1;24;71.7;4.9;91.4
01282;Outriaz;258;1;93.7;0;0;82.5;2.5;91.4
01283;Oyonnax;22378;205;89.4;4;110;80.9;1.1;79.2
01284;Ozan;721;9;80;0;0;91.5;1.4;97.1
01285;Parcieux;1317;10;76.3;0;0;85.9;1.4;98.1
01286;Parves et Nattages;943;4;45.2;0;0;91.5;0;95.7
01288;Péron;2900;24;80.2;1;7;86.2;1.7;96.5
01289;Péronnas;6437;57;86.8;0;0;83.1;3.8;91.4
01290;Pérouges;1382;10;69.5;2;51;79.2;1.5;92.3
01291;Perrex;861;10;76.5;0;0;92.6;0.7;98
01293;Peyriat;150;0;38.7;0;0;89.9;0;94
01294;Peyrieu;918;7;82.5;0;0;84.7;2.1;97.3
01295;Peyzieux-sur-Saône;656;4;55.7;0;0;90.7;0;98.4
01296;Pirajoux;400;3;39.2;0;0;94.9;0;98.9
01297;Pizay;922;10;66;0;0;85.3;0.5;97.2
01298;Plagne;166;1;17.7;0;0;97;0;96.6
01299;Le Plantay;569;6;62.4;0;0;81.3;0.4;96.8
01301;Polliat;2694;33;75.9;1;7;90.6;0.7;94.8
01302;Pollieu;167;0;75.4;0;0;88.4;0;97.4
01303;Poncin;1766;23;82.8;1;10;82.4;1.1;91.1
01304;Pont-d'Ain;2862;20;84.9;1;15;86.2;1;92
01305;Pont-de-Vaux;2184;14;86.9;1;10;77.9;3.2;82.5
01306;Pont-de-Veyle;1600;17;87.8;0;0;76;1.7;91.2
01307;Port;843;6;89.1;0;0;81.7;2.3;93
01308;Pougny;792;8;67.2;0;0;78.1;1.8;95.8
01309;Pouillat;79;0;74.8;0;0;100;0;97.6
01310;Prémeyzel;245;1;92.9;0;0;77.2;1.8;100
01311;Prémillieu;47;0;40;0;0;66.7;4.8;95.2
01313;Prévessin-Moëns;9081;67;85.3;1;152;72.5;8.9;95.2
01314;Priay;1803;15;70.2;0;0;85.4;0.3;92.9
01317;Ramasse;332;1;66.1;0;0;94.8;0;95.6
01318;Rancé;760;4;53.8;0;0;90;0;98.3
01319;Relevant;467;4;46;0;0;85.8;0.9;98.9
01320;Replonges;3929;35;86.4;2;20;91;0.8;95.9
01321;Revonnas;905;5;72.9;0;0;94;0.7;97.6
01322;Reyrieux;5228;45;89.1;1;8;86.9;0.3;96.5
01323;Reyssouze;1003;9;66.5;0;0;93.1;0.9;95.8
01325;Rignieux-le-Franc;1131;16;70.9;0;0;83;0.2;96.8
01328;Romans;628;4;84;0;0;83;0.7;91.3
01329;Rossillon;164;4;69.6;0;0;89.1;0;96.3
01330;Ruffieu;174;1;36.9;1;8;84.1;0;94
01331;Saint-Alban;195;0;35.7;0;0;83.7;1.9;96.4
01332;Saint-André-de-Bâgé;819;6;87.2;0;0;92.8;0.3;96.9
01333;Saint-André-de-Corcy;3369;30;80.2;0;0;76.5;0.9;93
01334;Saint-André-d'Huiriat;671;6;64.1;0;0;91.5;0.8;98.7
01335;Saint-André-le-Bouchoux;427;5;74.2;0;0;80;1.1;100
01336;Saint-André-sur-Vieux-Jonc;1216;11;75.5;0;0;88.1;0.6;96.4
01337;Saint-Bénigne;1351;10;66.5;0;0;90.5;1;95.7
01338;Groslée-Saint-Benoit;1232;13;75.8;0;0;92.1;0.5;96.3
01339;Saint-Bernard;1544;12;71.9;0;0;81.5;0.3;95.8
01342;Sainte-Croix;548;4;70.4;1;34;78.1;0;97
01343;Saint-Cyr-sur-Menthon;1867;18;89.2;0;0;89.8;0.9;96.5
01344;Saint-Denis-lès-Bourg;6078;50;83.1;0;0;83.8;4.2;91.7
01345;Saint-Denis-en-Bugey;2258;14;64.5;0;0;82.2;2;93.3
01346;Saint-Didier-d'Aussiat;845;8;67.1;0;0;94.1;0.3;94.8
01347;Saint-Didier-de-Formans;2176;19;62.2;0;0;87.2;0.7;98.6
01348;Saint-Didier-sur-Chalaronne;2969;29;79;0;0;86.7;1.2;93.5
01349;Saint-Éloi;524;4;66.1;0;0;87.9;0.9;98.1
01350;Saint-Étienne-du-Bois;2569;22;80.9;0;0;91.7;0.9;92.7
01351;Saint-Étienne-sur-Chalaronne;1625;10;48.4;0;0;89.3;0.3;94.6
01352;Saint-Étienne-sur-Reyssouze;576;7;67.9;0;0;91.5;0;95.6
01353;Sainte-Euphémie;1741;15;76.2;0;0;88.8;0.2;96.2
01354;Saint-Genis-Pouilly;14584;130;86.5;4;262;65.7;7.7;89.4
01355;Saint-Genis-sur-Menthon;488;4;67.5;0;0;91;0;98.1
01356;Saint-Georges-sur-Renon;214;1;79;0;0;88.5;0;100
01357;Saint-Germain-de-Joux;505;4;78.3;1;8;91.5;0;88.9
01358;Saint-Germain-les-Paroisses;423;2;77.4;0;0;91;1.8;94.5
01359;Saint-Germain-sur-Renon;262;2;46.9;0;0;86;0;97.1
01360;Saint-Jean-de-Gonville;2042;15;74.1;0;0;80.9;3.4;97.2
01361;Saint-Jean-de-Niost;1862;20;50.4;0;0;86.4;0;97.9
01362;Saint-Jean-de-Thurigneux;850;6;61;0;0;89.9;0.3;98.3
01363;Saint-Jean-le-Vieux;1799;19;82.9;0;0;85.5;1.8;91.6
01364;Saint-Jean-sur-Reyssouze;764;6;69.2;0;0;87.1;1.3;94.9
01365;Saint-Jean-sur-Veyle;1154;11;78.9;0;0;88.8;1;95.6
01366;Sainte-Julie;1092;14;91.6;1;22;86.8;0.5;96.9
01367;Saint-Julien-sur-Reyssouze;687;4;75.6;0;0;88;0.6;92.1
01368;Saint-Julien-sur-Veyle;853;7;62;0;0;90.7;1;97.9
01369;Saint-Just;953;7;91.1;0;0;88.1;2.8;97.3
01370;Saint-Laurent-sur-Saône;1735;18;79.4;0;0;76.9;2.6;84.8
01371;Saint-Marcel;1300;15;76;0;0;80.6;0;97.4
01372;Saint-Martin-de-Bavel;431;1;73.2;0;0;90.9;0.5;96.5
01373;Saint-Martin-du-Frêne;1027;12;84.5;0;0;88.8;1;92.8
01374;Saint-Martin-du-Mont;1953;18;76.8;0;0;92.9;0.4;94.3
01375;Saint-Martin-le-Châtel;784;9;73.6;0;0;94.4;0.8;96.8
01376;Saint-Maurice-de-Beynost;4243;61;90.1;1;89;74.3;3.4;88.8
01378;Saint-Maurice-de-Gourdans;2826;31;66.3;0;0;86.4;0.3;97.5
01379;Saint-Maurice-de-Rémens;758;4;66.7;0;0;83.4;1.4;94.4
01380;Saint-Nizier-le-Bouchoux;589;8;61.3;0;0;84.1;0.8;92.5
01381;Saint-Nizier-le-Désert;922;5;55.2;0;0;89.5;0.2;98.7
01382;Sainte-Olive;357;6;57.8;0;0;86.7;0.6;97.1
01383;Saint-Paul-de-Varax;1637;17;81.6;1;5;78.1;0.1;92
01384;Saint-Rambert-en-Bugey;2179;33;80.4;1;7;80.7;1.3;84.3
01385;Saint-Rémy;922;8;87.1;0;0;90.9;1.3;98
01386;Saint-Sorlin-en-Bugey;1140;6;87.2;0;0;87.2;1.2;93.9
01387;Saint-Sulpice;259;5;50;0;0;95.2;0;96.9
01388;Saint-Trivier-de-Courtes;1122;4;85.7;0;0;80.2;3.2;89.1
01389;Saint-Trivier-sur-Moignans;1910;15;73.2;0;0;87;0.6;94.7
01390;Saint-Vulbas;1229;8;97.3;2;38;83.2;2.4;95.6
01391;Salavre;295;3;78.4;0;0;90.3;0.7;96
01392;Samognat;645;1;60.6;1;8;95;0;98.7
01393;Sandrans;578;8;57.8;0;0;83.5;0;96.5
01396;Sault-Brénaz;1007;8;83.1;0;0;85.8;0.5;90.1
01397;Sauverny;1003;7;81.7;0;0;85.1;3.3;98.5
01398;Savigneux;1459;11;72.5;1;7;86.8;0.4;97
01399;Ségny;2676;40;86.4;1;16;75.1;4.5;95.1
01400;Seillonnaz;136;0;38.5;0;0;83.6;0;97
01401;Sergy;2279;14;59.1;0;0;75.7;5.8;96.3
01402;Sermoyer;659;3;52.9;0;0;89.3;1.1;92.8
01403;Serrières-de-Briord;1329;13;72.5;0;0;90.6;0.7;88.6
01404;Serrières-sur-Ain;135;2;20.5;0;0;98.1;0;94.4
01405;Servas;1287;10;87.8;0;0;84.6;1;95.6
01406;Servignat;180;1;53.3;0;0;87.5;0;97.5
01407;Seyssel;997;12;67.5;1;12;81.7;1.3;89.6
01408;Simandre-sur-Suran;664;8;87.3;1;8;89.7;0.3;95.3
01410;Sonthonnax-la-Montagne;287;1;45.3;0;0;90.9;0;97.4
01411;Souclin;263;4;71.5;0;0;93.3;0;95.4
01412;Sulignat;605;11;64.4;0;0;88;0.6;98.5
01415;Talissieu;514;2;90.9;0;0;92.9;0;96.7
01416;Tenay;1024;6;86.4;0;0;77.6;0;84.1
01418;Thil;1208;13;83;0;0;81.6;1.2;98.3
01419;Thoiry;6356;50;87.3;1;32;79.7;2.7;94.9
01420;Thoissey;1644;17;87.7;0;0;77;1.7;82.8
01421;Torcieu;744;5;86.8;0;0;82.1;4.9;92
01422;Tossiat;1389;21;86.8;0;0;91.5;0.5;94.8
01423;Toussieux;1228;12;79.1;0;0;90.4;0.3;98.9
01424;Tramoyes;1845;13;78.2;0;0;86.7;0.1;98.1
01425;La Tranclière;288;2;59;0;0;87.2;1.4;99.2
01426;Val-Revermont;2494;25;83;1;9;87.5;0.8;94.8
01427;Trévoux;6931;73;89.7;1;8;82.3;0.8;90.7
01428;Valeins;131;1;50;0;0;87.5;0;97.8
01429;Vandeins;725;9;55.8;0;0;91.1;0;96.5
01430;Varambon;664;8;65.3;0;0;92.3;0;95.6
01431;Vaux-en-Bugey;1218;8;83.4;0;0;86.3;1.1;95.3
01432;Verjon;343;3;42.4;0;0;93.8;0.9;92.6
01433;Vernoux;296;1;86.7;0;0;67.4;0;100
01434;Versailleux;500;6;56.5;0;0;82.2;0;98.3
01435;Versonnex;2222;15;73.2;0;0;82.7;3.3;97.7
01436;Vesancy;513;3;66.4;0;0;89.7;1.9;97.4
